FoodID,FoodName,Alcohol,Carbohydrates,Calcium,Cholesterol,Calories,Kilojules,Fattotal,Glucose,Iron,Lactose,Magnesium,Potassium,Selenium,Sodium,Starchtotal,Sugarstotal,Water,Zinc
A1007,"Bread, white wheat, sliced, prepacked, composite",0,43.1,85.0,0,230.48,976.54,2.4,0.25,0.96,0.25,28,130,9,460,38.8,4.3,38,0.73
A1008,"Bread, wheatmeal, sliced, prepacked, composite",0,36.6,86.0,0,214.48,907.9,2.9,0.25,1.7,0.25,60,210,9.1,430,32.8,3.8,39.9,1.4
A1009,"Bread, mixed grain, light, sliced, prepacked, composite",0,40.7,90.0,0,227.64,963.99,2.8,0.25,1.4,0.25,42,180,8.7,450,36.6,4.1,38.3,1.1
A101,"Croissant, plain, composite",0,38.63,53.5,52,398.37,1664.96,22.48,1.1,0.92,1.03,23.7,167,0,380,32.22,6.41,21.9,0.94
A1010,"Bread, mixed grain, heavy, sliced, prepacked, composite",0,42.6,42.0,0,228.41,967.88,2.3,0,1.1,1.2,40,200,5.7,370,38.0,4.6,45.55,1.1
A1011,"Stuffing, from chicken, deli cooked",0,25.78,26.0,3,139.36,589.78,2,0,0.92,0,15,210,2.7,470,23.58,2.2,68.1,0.39
A1014,"Bread, gluten free, white, sliced & unsliced, prepacked, composite",0,43.5,10.0,0,215.28,911.19,3,0.25,0.28,0.25,14,140,1,370,39.2,4.3,42.8,0.59
A1015,"Bread, gluten free, mixed grain, sliced, prepacked, composite",0,39.1,23.0,0,217.74,919.52,4.7,0.25,1.3,0.25,50,170,2.9,370,36.7,2.4,43.5,0.94
A1016,"Bread mix, gluten free, Simple Baking Mix, Healtheries, fortified",0,77.6,8.5,0,331.56,1408.51,0.5,0.25,0.05,0.25,19,78,4.2,650,73.3,4.3,10.6,0.72
A1017,"Bread, garlic, made with butter, Garlic Bread Traditional Style, La Famiglia & Garlic Bread Italian Style, Signature Range",0,41.47,83.2,10.11,372.76,1559.68,19.63,0,0.64,0,21.8,96.8,6.97,460,38.67,2.8,28.1,1.01
A1019,"Bread, garlic, made with margarine, Garlic Bread, Pams & Garlic Bread Traditional, Mamma Fiorelli's",0,41.47,83.2,0,389.84,1629.9,21.53,0,0.64,0,21.8,96.8,6.97,460,38.67,2.8,29.15,1.01
A1021,"Bread, mixed grain & seed, sliced, prepacked, 9 Grain & Seed Toast, Tip Top, fortified vitamin E, folate & Fe",0,34.98,87.0,0,224.87,950.71,4,0.25,6.1,0.03,85,250,9.4,410,33.0,1.98,36.2,1.6
A1024,"Bread, mixed grain, sliced, prepacked, Ancient Grains, Vogel's",0,32.92,41.0,0,206.44,872.37,4,0.34,1.6,0.03,49,180,3.2,360,30.1,2.82,43.1,1.1
A1029,"Cracker, corn, ready to eat, Cruskits, Corn, Arnott's",0,73.29,2.4,0.25,336.46,1428.46,1.2,0.05,0.45,0,11,70,4.4,740,73.1,0.19,6.9,0.21
A1030,"Cracker, wheat, ready to eat, Salada, Light, Original, Arnott's",0,66.32,25.0,3.7,332.45,1409.6,2.65,0.14,1.3,0,35,190,9.7,1000,64.9,1.42,4.7,0.92
A1031,"Cracker, mixed grain, ready to eat, Cruskits, Light, Arnott's",0,65.15,56.0,1.2,333.24,1413.15,2.5,0,1.6,0.83,46,220,23,820,62.6,2.55,6.25,1.2
A1032,"Cracker, mixed grain, ready to eat, Crisp Bread Original, Litebread, Huntley & Palmers",0,66.34,57.0,1.2,339.1,1437.43,3,0,0.83,0.3,37,220,8.5,450,61.7,4.64,4.85,1.2
A1033,"Cracker, wheat, ready to eat, Cream Crackers, Reduced Fat, Huntley & Palmers",0,66.17,28.0,1.2,348.77,1477.09,4.15,0.04,1.2,0,36,220,6.7,180,64.0,2.17,3.9,1.0
A1034,"Cracker, rice, plain, composite",0,75.66,7.8,0,362.55,1536.15,3.75,0,0.36,0,33,130,1,470,73.7,1.96,3.8,1.2
A1035,"Cracker, rice, seaweed flavoured, Rice Cracker Seaweed, Sakata",0,72.6,12.0,0,337.65,1433.08,1.55,0.26,0.57,0,40,260,3.8,900,68.6,4.0,5.8,1.3
A1036,"Cracker, rice & seaweed flavoured Rice Cracker Seaweed, Fantastic",0,73.63,12.0,0,340.02,1442.9,1.75,0.23,0.55,0,41,170,1,820,70.1,3.53,6,1.2
A1037,"Cracker, rice & seaweed flavoured, Rice Cracker Seaweed, Pams",0,71.88,20.0,0,349.38,1480.24,3.7,0,0.9,0,21,68,1,600,69.35,2.53,4.1,1.2
A1045,"Bread, mixed grain & seed, sliced, prepacked, Mixed Grain & Toasted Sesame Toast, Vogel's",0,30.05,23.0,0,208.89,880.7,5.67,0,1.11,0,44,159,7,370,29.7,0.35,44.9,1.06
A1048,"Bread, mixed grain & seed, sliced, prepacked, Station Seed & Grain, MacKenzie",0,31.0,138.0,0,214.05,903.66,4.83,0.14,1.99,0,71,191,6,420,28.9,2.1,40.15,1.52
A1049,"Bread, mixed grain, sliced, prepacked, Tuscan Mixed Grain, Freya's",0,39.09,108.0,0,219.02,927.47,2.7,0,1.02,0,38,153,6,410,36.4,2.69,39.5,0.98
A1050,"Bread, mixed grain, sliced, prepacked, Salba Traditional Wholegrain, Yarrows",0,32.31,106.0,0,200.56,848.4,3.19,0,1.98,0,54,183,5,340,29.7,2.61,40.25,1.28
A1051,"Bread, mixed grain, sliced, prepacked, Nature's Grain, River Mill, fortified folate",0,41.46,95.0,0,223.47,947.29,1.98,0.6,1.21,0,33,148,9,440,37.7,3.76,37.45,0.93
A1052,"Bread, wheat & rye, sliced, prepacked, Salba Traditional European Rye, Yarrows",0,32.0,101.0,0,209.29,884.5,4,0,1.53,0,52,175,7,350,29.3,2.7,38.6,1.28
A1053,"Bread, mixed grain, sliced, prepacked, Swiss Bake Grains Plus, Molenberg, Quality Bakers",0,35.18,117.0,0,214.77,908.8,3.18,0.04,2.0,0,61,200,6,410,32.5,2.68,40.2,1.47
A1060,"Biscuit, chocolate chip fudge, ready to eat, Chocolate Chip Fudge, Farmbake, Arnott's",0,68.9,48.0,5,479.49,2012.76,20.05,0,1.7,1.3,34,170,5,210,29.1,39.8,3,0.69
A1061,"Biscuit, chocolate chip, ready to eat, Chocolate Chip, Cookie Time",0,61.65,50.0,54,482.85,2022.87,23.4,0,11.7,1,40,210,2,380,22.2,39.45,7.05,0.71
A1062,"Biscuit, milk chocolate, ready to eat, Milk Chocolate, Arnott's & Griffin's, composite",0,62.53,70.0,6.2,483.96,2027.75,23.28,0.55,4.6,3.82,56.5,305,2,275,24.64,37.89,2.1,0.97
A1063,"Biscuit, milk chocolate, ready to eat, Tim Tam, Arnott's & Chit Chat, Griffin's, composite",0,66.7,85.0,6.7,514.01,2153.11,25.15,1.15,15.0,4.25,41,275,1.5,200,20.15,46.55,1.15,0.69
A1064,"Biscuit, milk chocolate, ready to eat, Double Coat, Tim Tam, Arnott's",0,68.46,51.0,8.9,527.08,2207.63,25.95,1.6,5.8,5.46,42,220,3,390,16.9,51.56,0.93,0.76
A1066,"Biscuit, white & dark chocolate, ready to eat, White & Dark Chocolate, Farmbake, Arnott's",0,69.95,10.0,5.1,490.87,2059.64,21.25,0.6,14.5,1,37,230,4,160,29.8,40.15,3.6,0.62
A1067,"Biscuit, milk chocolate, ready to eat, Double Chocolate, Cookies, Ernest Adams",0,66.14,34.0,10,476.14,1997.3,21.05,0.82,2.0,1.1,31,160,3,260,29.7,36.44,4.7,0.56
A1068,"Biscuit, dark chocolate, ready to eat, Dark Chocolate, Arnott's & Wheaten, Griffin's, composite",0,58.76,41.0,3.3,473.52,1982.79,23.73,0.6,11.1,1.41,70,290,2,280,25.05,33.71,2.15,1.11
